#From  	To    	Country  - Extracted from http://www.aerotransport.org/html/ICAO_hex_decode.html
000000	003FFF	(unallocated)
004000	0043FF	Zimbabwe
006000	006FFF	Mozambique
008000	00FFFF	South Africa
010000	017FFF	Egypt
018000	01FFFF	Libya
020000	027FFF	Morocco
028000	02FFFF	Tunisia
030000	0303FF	Botswana
032000	032FFF	Burundi
034000	034FFF	Cameroon
035000	0353FF	Comoros
036000	036FFF	Congo
038000	038FFF	Cote d Ivoire
03E000	03EFFF	Gabon
040000	040FFF	Ethiopia
042000	042FFF	Equatorial Guinea
044000	044FFF	Ghana
046000	046FFF	Guinea
04A000	04A3FF	Lesotho
04C000	04CFFF	Kenya
050000	050FFF	Liberia
054000	054FFF	Madagascar
058000	058FFF	Malawi
05A000	05A3FF	Maldives
05C000	05CFFF	Mali
05E000	05E3FF	Mauritania
060000	0603FF	Mauritius
062000	062FFF	Niger
064000	064FFF	Nigeria
068000	068FFF	Uganda
06A000	06A3FF	Qatar
06C000	06CFFF	Central African Republic
06E000	06EFFF	Rwanda
070000	070FFF	Senegal
074000	0743FF	Seychelles
076000	0763FF	Sierra Leone
078000	078FFF	Somalia
07A000	07A3FF	Swaziland
07C000	07CFFF	Sudan
080000	080FFF	Tanzania
084000	084FFF	Chad
088000	088FFF	Togo
08A000	08AFFF	Zambia
08C000	08CFFF	D R Congo
090000	090FFF	Angola
094000	0943FF	Benin
096000	0963FF	Cape Verde
098000	0983FF	Djibouti
098000	0983FF	Djibouti
09A000	09AFFF	Gambia
09C000	09CFFF	Burkina Faso
09E000	09E3FF	Sao Tome
0A0000	0A7FFF	Algeria
0A8000	0A8FFF	Bahamas
0AA000	0AA3FF	Barbados
0AB000	0AB3FF	Belize
0AC000	0ACFFF	Colombia
0AE000	0AEFFF	Costa Rica
0B0000	0B0FFF	Cuba
0B2000	0B2FFF	El Salvador
0B4000	0B4FFF	Guatemala
0B6000	0B6FFF	Guyana
0B8000	0B8FFF	Haiti
0BA000	0BAFFF	Honduras
0BC000	0BC3FF	St.Vincent + Grenadines
0BE000	0BEFFF	Jamaica
0C0000	0C0FFF	Nicaragua
0C2000	0C2FFF	Panama
0C4000	0C4FFF	Dominican Republic
